丶	r	基本笔画【点】
长	y	长张账帐胀怅枨伥
垂	h	睡锤垂捶埵棰缍倕
爰	b	暖缓援媛爰锾谖㬊
赤	k	赤赫螫郝哧赦赧赭
天	f	天添昊舔吞吴蚕掭
执	l	势热执垫挚鸷蛰贽
祭	f	察祭蔡𬶭磜傺瘵穄
北	t	背北剩乘乖冀骥邶
尔	h	你称尔您弥狝玺迩
相	c	想相箱厢湘霜缃鹴
彖	b	缘篆蠡喙禒彖瑑椽
朿	a	策刺棘枣莿洓僰
瓦	n	瓦瓷瓴佤瓯甑甓瓻
足	c	足促捉蹇龊浞趸踅
丘	n	兵宾丘岳乒乓蚯邱
敝	k	撇蔽弊憋敝瞥鳖𬭯
叚	p	假霞瑕暇嘏瘕叚葭
回	z	回颤禀茴徊鹯蛔亶
朗	v	朗郎螂廊蓢塱㮾啷
曹	v	槽糟遭曹嘈漕螬艚
攸	g	候修悠脩攸浟翛倏
鼠	t	鼠鼹鼱鼷鼫鼢鼬鼩
身	t	谢身射躺躲躯躬榭
奴	z	努怒奴弩胬砮孥驽
东	m	东陈冻栋鸫𬟽胨岽
坚	n	竖紧坚肾贤铿鲣悭
求	f	求球救裘逑俅赇𨱇
癸	d	葵睽骙揆阕戣暌癸
萝	t	懵萝蔑薯瞢甍蠛薨
妻	l	捷妻凄萋睫寁郪婕
丽	z	丽鹂俪酾郦逦鲡骊
百	k	百陌佰皕貊弼奭
並	d	普谱碰潽椪湴镨氆
发	q	发废拨泼袯酦䥽
冓	k	篝斠鞲耩遘媾觏
段	b	段锻塅缎椴煅瑖
前	m	前剪箭煎翦湔谫
二	p	二些仁贰朊佞竺
片	w	版片牌牖牒牍簰
永	k	永脉泳咏栐昶羕
冉	q	再冉髯苒蚺䎃聃
兀	p	兀虺杌𫐄屼髡靰
代	k	代袋贷垈牮岱黛
农	l	农浓脓侬𬪩秾哝
啇	n	滴摘墒蹢嫡嘀镝
敢	w	敢憨瞰撖阚橄澉
柬	x	暕柬阑𬶠瑓楝谏
舛	p	舛桀舜磔翷遴粼
与	f	写与焉玙鄢欤屿
橐	x	囊囔蠹馕攮橐
乇	f	托吒亳宅乇圫
产	s	产颜彦铲谚浐
乡	k	乡雍芗壅饔飨
旡	h	既暨簪僭谮𬶨
禹	f	属踽禹龋鄅瑀
夗	a	怨苑宛剜眢鸳
芍	y	菊荀苞萄芍葡
惠	k	惠蟪橞蕙穗𬤝
专	k	传转专砖䏝抟
为	j	为伪𫇭㧑沩妫
冈	n	刚钢纲岗㭎冈
	w	载截戴裁哉栽
以	s	以似拟姒苡
久	d	久灸玖羑疚
象	b	像象豫橡蟓
乌	h	乌呜邬坞钨
丞	w	蒸拯丞烝卺
下	h	下吓虾忑卞
爻	y	爽驳攀爻樊
三	v	三承仨叁闫
兴	c	应兴举誉榉
六	f	六滚衮兖磙
赢	a	赢嬴羸蠃瀛
疑	q	疑凝薿嶷
丹	s	丹坍旃彤
商	a	商熵擿谪
舍	c	啥舒舍猞
在	k	在存荐茬
复	b	复腹愎蝮
爪	w	抓爬爪笊
臣	p	卧臣宦嚚
微	d	微薇徽徵
买	x	买卖荬觌
乎	f	乎呼烀轷
蚩	s	蚩嗤媸滍
	q	遍扁翩嗣
丩	z	叫收纠赳
另	j	别另拐捌
夜	p	夜液掖腋
奖	q	奖酱浆桨
	w	然燃炙
早	f	早草覃
来	w	来赉慭
四	q	四泗驷
食	t	食飧飨
卵	j	卵孵
	d	疏蔬
曳	t	拽曳
囬	d	面勔
㐄	f	逄
